company_name,website,contact_email,tags,lead_score
Rippling,https://rippling.com,support@rippling.com,HR/IT Platform,93
OpenAI,https://openai.com,info@openai.com,AI Platform,95
Apollo.io,https://apollo.io,support@apollo.io,Sales Intelligence,80
Algolia,https://algolia.com,support@algolia.com,Search API,89
UserTesting,https://usertesting.com,support@usertesting.com,UX Research,78
Onfido,https://onfido.com,info@onfido.com,Identity Verification,88
Mattermost,https://mattermost.com,info@mattermost.com,Team Messaging,79
Mavenlink,https://mavenlink.com,info@mavenlink.com,Project Management,85
Contentful,https://contentful.com,support@contentful.com,Headless CMS,87
Workiva,https://workiva.com,info@workiva.com,Enterprise Collaboration,94
ServiceTitan,https://servicetitan.com,info@servicetitan.com,Field Service,78
Drift,https://drift.com,support@drift.com,Conversational Marketing,80
Pleo,https://pleo.io,support@pleo.io,Expense Management,81
Bitrise,https://bitrise.io,hello@bitrise.io,Mobile CI/CD,77
Appen,https://appen.com,info@appen.com,AI Data,85
Pipe,https://pipe.com,info@pipe.com,Revenue Financing,79
Sendinblue,https://sendinblue.com,contact@sendinblue.com,Email Marketing,87
Revolut,https://revolut.com,support@revolut.com,Fintech,86
TestGorilla,https://testgorilla.com,info@testgorilla.com,HR/Assessment,88
Gtmhub,https://gtmhub.com,info@gtmhub.com,OKR Platform,82
Jotform,https://jotform.com,support@jotform.com,Online Forms,89
Coda,https://coda.io,help@coda.io,Docs/Collaboration,85
OneTrust,https://onetrust.com,info@onetrust.com,Privacy/Compliance,87
Spendesk,https://spendesk.com,help@spendesk.com,Spend Management,81
Quinyx,https://quinyx.com,info@quinyx.com,Workforce Management,83
Tray.io,https://tray.io,help@tray.io,Workflow Automation,80
Kissflow,https://kissflow.com,support@kissflow.com,Workflow Software,92
Workhuman,https://workhuman.com,info@workhuman.com,Employee Recognition,84
Breezy HR,https://breezy.hr,support@breezy.hr,Recruiting,78
Hootsuite,https://hootsuite.com,help@hootsuite.com,Social Media,79
ActiveCampaign,https://activecampaign.com,help@activecampaign.com,Marketing Automation,89
Chili Piper,https://chilpiper.com,help@chilpiper.com,Meeting Automation,84
Aha!,https://aha.io,support@aha.io,Product Management,90
Blue Yonder,https://blueyonder.com,info@blueyonder.com,Supply Chain SaaS,92
Unbounce,https://unbounce.com,support@unbounce.com,Landing Pages,78
Dixa,https://dixa.com,hello@dixa.com,Omnichannel Customer Service,86
Smartsheet,https://smartsheet.com,support@smartsheet.com,Work Management,94
Kaseya,https://kaseya.com,info@kaseya.com,IT Management,85
Cloudflare,https://cloudflare.com,support@cloudflare.com,Web Performance/Security,88
SurveySparrow,https://surveysparrow.com,hello@surveysparrow.com,Survey Tools,87
Cynet,https://cynet.com,info@cynet.com,Cybersecurity,93
SignRequest,https://signrequest.com,support@signrequest.com,eSignatures,82
Samsara,https://samsara.com,info@samsara.com,IoT/Operations,84
Wistia,https://wistia.com,info@wistia.com,Video Marketing,79
Guru,https://getguru.com,info@getguru.com,Knowledge Management,83

